Actual,Predicted
268.6,216.22185632177832
128.6,215.55619881302746
118.6,189.93262293727955
398.6,413.5486201112248
144.73,178.27170006211873
458.61,444.13817638728653
258.6,216.22185632177832
318.6,218.93009816648112
478.6,305.94394551495094
158.6,167.2977883479098
193.6,273.2520198863221
128.6,228.38119709930825
148.6,215.94241285774444
88.6,165.47506299039588
192.6,267.86130788650206
118.6,260.2552106016355
148.6,193.46826634854625
298.6,226.06651212436122
118.6,193.33985215416953
358.6,218.59117711933362
134.36,207.1666844138559
172.6,217.00576250218464
228.6,269.2454603059139
178.6,248.13494038451736
202.6,258.94272522494657
218.6,244.61120124813795
598.61,278.90534286805104
143.6,276.9242609462113
398.6,266.953575470974
193.61,216.0574005127983
308.6,423.24642952680387
188.6,224.89113038318865
191.6,258.7010864985898
143.6,276.0868690593773
398.6,278.3963963935495
133.6,214.60666608006
328.6,216.26184663408188
98.6,216.3057787504615
238.61,217.0565669493269
138.6,211.2564092987599
508.6,239.1265388053071
368.6,239.18008334203103
278.6,273.06877585261117
698.6,415.11678417176233
438.59,387.6312268780968
172.6,166.2478129092212
268.6,265.48783121896906
298.6,243.489141315834
168.61,167.42951001863327
238.6,193.30064294466007
178.6,225.60513998549487
363.6,229.88958088504728
458.6,279.7887616945633
188.6,220.70440612604096
288.6,218.24216399902213
198.6,202.75006034537742
318.6,427.6121164504766
213.6,166.3567030994764
238.6,219.58541031828298
98.6,214.57600768129933
358.6,352.9315700237019
398.6,399.41894302928534
140.99,83.69023707715306
154.35,202.77120957992685
172.6,238.89703086293758
398.6,208.41158777534997
241.6,219.7027780971635
151.6,202.5021917425274
63.99,87.74812107672433
288.61,366.10927098872054
98.6,172.5531760660592
143.6,233.8753785419982
308.6,231.81924872857707
328.6,435.96664274701936
183.6,179.0267355240335
418.6,218.59117711933362
398.6,216.26184663408188
348.6,272.77869096265584
43.98,55.57417004898742
148.6,193.02890680113848
98.6,199.672481116521
408.6,291.946034869322
318.6,519.6798828880114
268.6,291.6712778105338
278.6,438.61869348829424
185.6,183.27381173844566
228.6,218.59117711933362
172.6,243.04075486312962
151.6,163.44006586237404
318.6,440.86954388456104
358.6,363.7944551639632
171.98,107.27368674187399
148.6,244.34761756737637
143.99,205.66263041540438
358.6,229.9510537480253
183.6,255.59198277201656
148.6,242.58364751257253
191.6,297.79015302347494
238.6,138.81536244765564
248.6,233.3038818779944
