Actual,Predicted
248.6,234.60913
93.6,185.23695
188.6,225.8324
358.6,279.48087
103.6,202.63464
218.6,207.87416
268.6,188.1769
244.6,222.96333
288.6,167.83916
268.6,276.10947
128.6,213.00325
283.6,240.31665
198.6,258.30502
148.6,219.58461
148.6,207.55486
278.6,213.88687
348.6,256.20874
167.98,164.7219
308.6,399.7313
198.6,228.4719
238.6,211.03749
283.6,335.5064
1098.6,296.0827
278.6,236.3954
111.6,196.76501
358.6,361.6039
338.61,390.288
323.6,272.20245
162.6,163.93561
398.6,433.7264
328.6,247.19983
403.6,251.36719
378.6,313.0262
598.61,610.04956
108.6,157.27472
428.6,418.8334
218.6,301.29294
205.61,208.10655
233.6,255.01709
188.6,167.81177
598.61,601.18146
428.6,428.57654
253.61,207.97989
428.6,265.67584
198.6,203.8314
248.6,275.48166
178.6,167.5166
118.6,205.68903
438.6,262.46832
328.6,221.69368
299.6,260.3292
278.6,159.32701
188.6,270.314
214.35,256.893
140.6,202.27905
298.6,270.50806
208.61,186.7877
66.99,79.60035
328.6,244.08559
408.6,394.44186
268.6,204.33617
143.6,153.49245
278.6,229.15208
53.6,144.40434
348.6,378.62625
168.61,178.05688
158.6,320.73138
218.6,195.00717
618.6,610.02313
198.6,189.89017
173.6,227.85153
288.6,169.42548
191.6,258.51468
103.6,204.6488
98.6,171.37206
151.6,265.34753
348.6,291.98547
172.6,181.53314
178.6,266.69595
448.6,452.30417
338.61,257.3863
168.61,282.62024
289.6,252.35426
408.6,337.82617
338.59,325.914
143.6,195.56311
498.6,492.57843
168.61,210.96634
258.6,241.4446
448.6,239.00926
149.99,159.11627
278.6,283.02637
318.6,480.22064
148.6,177.5518
278.6,246.96873
523.6,431.99084
162.6,239.70482
338.61,271.07806
148.6,207.14262
328.6,237.78679
244.6,152.30673
288.6,213.12018
148.6,174.61638
191.6,263.9296
208.61,224.62148
498.6,244.966
88.6,283.54684
113.6,160.41646
428.6,353.54883
118.6,180.87221
53.99,93.266335
187.6,173.37358
150.6,174.83516
308.6,355.35526
358.6,261.8953
143.6,150.21335
241.6,263.3684
508.6,491.7303
183.6,295.96783
202.6,330.67795
318.6,356.73474
172.6,279.58713
98.6,180.05089
308.6,406.36563
249.35,246.5744
148.6,212.19412
153.6,186.25612
608.6,613.9949
244.6,219.20094
298.59,215.73935
198.6,177.1767
408.6,447.48767
298.6,236.1103
188.6,178.01431
172.6,171.2015
163.98,188.25632
438.6,211.10666
178.6,224.56277
103.6,211.63779
218.6,190.88055
308.6,289.70065
188.6,263.3496
258.6,249.95462
378.6,404.22513
308.6,255.90718
81.98,89.729706
318.6,327.6199
88.6,153.16779
160.6,218.60881
244.6,196.59746
208.61,226.1812
285.6,368.86966
272.6,353.18616
398.6,352.89267
378.6,399.23694
408.6,409.35287
367.61,260.40024
138.6,229.09338
367.61,252.91278
348.6,278.0907
188.6,237.44852
338.61,365.77106
298.6,213.91939
198.61,202.14967
156.6,181.86404
378.6,370.0989
184.35,305.33694
244.6,214.76973
108.6,293.71527
148.6,206.34387
388.6,254.79572
398.6,433.5249
140.6,172.47719
458.61,239.61081
188.6,231.97368
172.6,191.8905
128.6,191.96043
170.98,102.64738
553.59,283.7929
188.6,247.38164
259.6,226.07271
202.6,230.40448
453.6,238.11609
188.6,208.70941
202.6,226.4768
191.6,221.99054
318.6,222.79991
296.61,192.31644
228.6,280.7748
153.6,155.21887
238.6,222.18965
198.6,197.46506
188.6,349.84256
408.6,412.02756
458.6,318.21884
148.6,266.5056
168.61,206.76321
173.6,189.65599
42.98,83.03644
348.59,427.90378
298.6,161.63661
188.6,215.14009
498.6,547.0665
178.6,218.92035
188.6,247.38164
218.6,211.25949
122.61,158.03592
458.6,487.70108
140.6,274.92953
148.6,151.77757
398.6,273.73932
158.6,257.5151
308.6,228.68738
378.6,299.68124
215.6,195.83113
478.6,343.66928
608.6,596.5411
298.6,246.52194
148.6,186.4718
548.6,407.07678
298.6,197.68185
328.6,283.4597
408.6,241.2727
148.6,156.32138
473.59,212.29138
248.6,200.55344
148.6,195.244
328.6,377.3615
298.6,262.7521
168.61,185.46938
398.6,375.79785
52.99,65.401955
288.6,259.4775
268.6,283.7929
298.6,265.27493
308.6,409.3406
348.6,253.92656
298.6,445.46442
238.6,221.68774
244.6,208.79152
208.61,303.06696
103.6,189.47687
218.6,419.52557
553.59,421.8163
438.6,217.99562
213.6,242.54936
308.6,419.59796
